epoch,iter,learning_rate,loss,loss_cls,loss_iou,loss_dfl,loss_l1
41,0,0.001371,1.862337,0.984296,0.148587,0.86772,0.367568
41,20,0.00136,1.940234,1.061362,0.163527,0.882357,0.368664
41,40,0.00135,1.905469,1.008948,0.167008,0.905183,0.364172
42,0,0.00134,1.881746,1.034381,0.15143,0.908941,0.390094
42,20,0.001329,1.887016,1.028003,0.161243,0.930325,0.367396
42,40,0.001318,1.882101,1.022195,0.159195,0.923605,0.379652
43,0,0.001309,1.865463,1.028477,0.162909,0.931155,0.370758
43,20,0.001298,1.821723,0.973156,0.153727,0.88738,0.351041
43,40,0.001287,1.863425,1.016384,0.157953,0.8816,0.356797
44,0,0.001277,1.854557,0.990721,0.154915,0.903558,0.362958
44,20,0.001266,1.849575,1.014685,0.153108,0.902339,0.373191
44,40,0.001255,1.849557,1.024,0.153146,0.933219,0.378018
45,0,0.001245,1.910319,1.056567,0.161382,0.934545,0.374181
45,20,0.001234,1.826665,0.992794,0.156893,0.889399,0.350813
45,40,0.001223,1.845246,0.961663,0.15005,0.906055,0.365037
46,0,0.001213,1.837353,0.974321,0.151448,0.915441,0.368423
46,20,0.001202,1.775777,0.966735,0.151716,0.89361,0.340185
46,40,0.001191,1.847776,0.974789,0.158675,0.915432,0.369997
47,0,0.001181,1.871006,1.001826,0.175169,0.93127,0.377728
47,20,0.001169,1.82739,0.978838,0.158413,0.904259,0.366155
47,40,0.001158,1.807743,0.967066,0.148123,0.88744,0.343388
48,0,0.001148,1.835967,0.966906,0.150162,0.890833,0.367409
48,20,0.001137,1.833347,0.952479,0.170208,0.899683,0.350229
48,40,0.001125,1.789534,0.957526,0.154646,0.86442,0.356531
49,0,0.001115,1.817725,1.014338,0.147258,0.868582,0.352343
49,20,0.001104,1.834681,0.994224,0.154749,0.901783,0.349326
49,40,0.001092,1.814706,0.964266,0.163261,0.889771,0.356345
50,0,0.001083,1.769574,0.951587,0.138976,0.905055,0.350597
50,20,0.001071,1.864702,1.013807,0.15457,0.876347,0.353574
50,40,0.001059,1.810309,0.946975,0.163143,0.884807,0.353902
51,0,0.00105,1.763733,0.951843,0.143648,0.853063,0.317109
51,20,0.001038,1.822394,0.98239,0.153971,0.866184,0.336934
51,40,0.001026,1.859649,0.984735,0.161348,0.90898,0.365514
52,0,0.001017,1.790365,0.925322,0.157683,0.896285,0.357477
52,20,0.001005,1.72423,0.921203,0.147149,0.861799,0.341078
52,40,0.000993,1.78181,0.944,0.160116,0.885001,0.360929
53,0,0.000983,1.743827,0.936527,0.149575,0.89628,0.321812
53,20,0.000972,1.770618,0.940302,0.155441,0.829218,0.329453
53,40,0.00096,1.799803,0.939239,0.154145,0.877425,0.326034
54,0,0.00095,1.773082,0.955234,0.151523,0.867898,0.349489
54,20,0.000939,1.770168,0.939432,0.148327,0.873298,0.32866
54,40,0.000927,1.74587,0.926374,0.146274,0.869909,0.338216
55,0,0.000917,1.700229,0.919794,0.148246,0.861486,0.347179
55,20,0.000906,1.761106,0.926935,0.14626,0.919609,0.361388
55,40,0.000894,1.774685,0.953326,0.153393,0.857142,0.35015
56,0,0.000885,1.768675,0.936389,0.147141,0.865811,0.307192
56,20,0.000873,1.74438,0.932683,0.150299,0.883692,0.331292
